"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-09 18:31:37.000,"00000000000000",无,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇旺庄路88号2号楼3楼,C,"18","183",,"0",,"20250314","0",制造业,纺织服装、服饰业,服饰制造,,"320507103",黄埭镇,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:46.000,"91320585589973963L",苏州安捷诺电子科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇长平路83号四号厂房3楼,C,"35","356","3569","1",2026-01-29 11:11:10.000,"20260129","0",制造业,专用设备制造业,电子和电工机械专用设备制造,其他电子专用设备制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇长平路83号,"120.496465","31.423803","7db582a64c2a445ba60b5acd8fb35591",C,"1",,,"12834742"
2026-03-09 18:31:40.000,"91320507MAC501NB2Y",苏州东邑隆机械有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",江苏省苏州市相城区黄埭镇长平路99号8幢一楼5区,C,"33","339","3399","1",2026-03-01 16:41:06.000,"20260301","0",制造业,金属制品业,铸造及其他金属制品制造,其他未列明金属制品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇长平路99号,"120.501175","31.439412","1ff06ef1da0f4a33bd3dd3ebd6f0f49e",D,"1",,,"14353042"
2026-03-09 18:31:40.000,"91320508660088191P",苏州茂尔森机电科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇长平路99号8幢一楼东侧,C,"33","331",,"0",,"20250519","0",制造业,金属制品业,结构性金属制品制造,,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇长平路99号8幢,"120.499467","31.436733","68eae698f7ac420c9b4e825428706e0f",D,"1",,,"14353042"
2026-03-09 18:31:39.000,"91320507774652491D",苏州市联拓电子材料有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇东桥长平路83号中致科技园内C5栋,C,"41","419",,"0",,"20250121","1",制造业,其他制造业,其他未列明制造业,,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇长平路83号C5幢,"120.496376","31.422977",a2f575d217e043b4b420046187953f0a,D,"1",,,"1659054"
2026-03-09 18:31:39.000,"913205075678001059",江苏旭耀光电技术有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园15号楼,C,"39","397","3975","1",2026-01-26 14:48:40.000,"20260126","1",制造业,计算机、通信和其他电子设备制造业,电子器件制造,半导体照明器件制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路88号咏春工业坊,"120.534008","31.428096",b539b232a03e4243af0dd29e167c315b,D,"1",,,"2469243"
2026-03-09 18:31:40.000,"91320507MA1XRC3B8G",图达通智能科技（苏州）有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区高铁新城太阳路2266号5幢（1号楼）9层908A室（一照多址）,C,"39","396","3962","1",2026-02-25 13:59:52.000,"20260225","1",制造业,计算机、通信和其他电子设备制造业,智能消费设备制造,智能车载设备制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇苏阳路7号,"120.565434","31.420631","1c89fba4cba641e4840b04690de05029",D,"1",,,"3167775"
2026-03-09 18:31:39.000,"913205075911660528",苏州吉龙机械有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇东桥人民路169号,C,"34","348","3484","1",2026-01-19 12:41:34.000,"20260119","1",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇人民路169号,"120.49641","31.43325","70022f90513d4f18971990297653e1b9",B,"1",,,"3205000013158185"
2026-03-09 18:31:39.000,"913205077206783897",苏州市鑫虹塑料制品厂,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇东桥长旺路39号,C,"29","292","2921","1",2026-01-29 11:05:56.000,"20260129","0",制造业,橡胶和塑料制品业,塑料制品业,塑料薄膜制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇长旺路39号,"120.511737","31.413889","20003f325e9e41e59258db168302ed92",D,"1",,,"3205000013196714"
2026-03-09 18:31:40.000,"91320507MAC567YP6Y",苏州兴富辰精密制造有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",江苏省苏州市相城区黄埭镇春旺路8-6号4号厂房第一层,C,"33","339",,"0",,"20250812","0",制造业,金属制品业,铸造及其他金属制品制造,,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路8-6号,"120.538065","31.426721","9b446271ff934d46997374b7b86dddca",D,"1",,,"3205000013200710"
