"时间戳","主键ID","企业ID","生产状态：1正常生成，2临时停产(三个月以内)， 3长期停产(三个月以上)","停产原因","停产开始时间","预估结束停产时间","实际结束停产时间","停产时长","调整来源（1：企业 2：政府）","创建人","创建时间","更新人","更新时间","数据来源"
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccc5df866001f","91321182MA2275T414","2",休息,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,2024-01-04 23:59:59.000,"2","1",,2024-01-03 06:49:19.000,,2024-01-17 15:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccc74947c0048","913203053239445591","2",库存积压严重，销售直线下滑，春节临近，公司决定临时放假三个月。,2024-01-03 00:00:00.000,2024-03-02 23:59:59.000,,"60","1",,2024-01-03 07:14:01.000,,2024-01-03 07:14:01.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccc96c8d30402","91320623595583486M","2",元旦放假,2023-12-30 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"5","1",,2024-01-03 07:51:23.000,,2024-01-06 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca532920822","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:07.000,,2024-01-03 08:07:07.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca541fb0823","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:11.000,,2024-01-03 08:07:11.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca58ae50824","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:30.000,,2024-01-03 08:07:30.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca58aee0825","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:30.000,,2024-01-03 08:07:30.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca596810826","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:33.000,,2024-01-03 08:07:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca597100827","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:33.000,,2024-01-03 08:07:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca598710828","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,,"3","1",,2024-01-03 08:07:33.000,,2024-01-03 08:07:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca598790829","91320321796101711R","2",放假,2024-01-03 00:00:00.000,2024-01-05 23:59:59.000,2024-01-05 23:59:59.000,"3","1",,2024-01-03 08:07:33.000,,2024-01-16 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccca6cdf208a8","91320831MA27BP9X2A","2",设备维护,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 08:08:52.000,,2024-01-03 08:08:52.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccada5880994","91321182MA1XUN8L89","2",暂时停产,2024-01-03 00:00:00.000,2024-01-07 23:59:59.000,,"5","1",,2024-01-03 08:16:21.000,,2024-01-03 08:16:21.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccb5c9680e44","91320681324017415R","2",礼拜天休息,2024-01-06 00:00:00.000,2024-01-07 23:59:59.000,,"2","1",,2024-01-03 08:25:14.000,,2024-01-03 08:25:14.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b5591523","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 08:38:16.000,,2024-01-03 08:38:16.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b57c1524","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 08:38:16.000,,2024-01-03 08:38:16.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b5a71525","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,,"2","1",,2024-01-03 08:38:16.000,,2024-01-03 08:38:16.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b8701537","91320684MA1NYUKD0B","2",提前放假,2023-12-15 00:00:00.000,2024-02-17 23:59:59.000,2024-02-17 23:59:59.000,"65","1",,2024-01-03 08:38:16.000,,2024-02-26 15:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc1b8ee1538","91321081582347396J","2",临时停产,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"1","1",,2024-01-03 08:38:17.000,,2024-01-05 08:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc599211764","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:31.000,,2024-01-03 08:42:31.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5a1f7179b","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:33.000,,2024-01-03 08:42:33.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b0a217b4","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b0aa17b5","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b10a17b6","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccc5b35f17b7","91321203697941352X","2",厂内有库存，暂未接到新订单,2024-01-03 00:00:00.000,2024-01-08 23:59:59.000,,"6","1",,2024-01-03 08:42:37.000,,2024-01-03 08:42:37.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccd62d022136","91320381MA1MXWTP5Y","2",我厂继续停产保火,2024-01-03 00:00:00.000,2024-03-01 23:59:59.000,2024-03-01 23:59:59.000,"59","1",,2024-01-03 09:00:37.000,,2024-06-19 10:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccce230892b07","91320282250243937R","2",无生产计划,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 09:13:44.000,,2024-01-03 09:13:44.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccce26ff92b10","91320282250243937R","2",无生产计划,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 09:14:01.000,,2024-01-03 09:14:01.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccce7aa082cb1","91320324MA1MT7H393","2",事假，工厂放假,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:19:43.000,,2024-01-03 09:19:43.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee4ee530dd","91321311MA1W9L7Y7X","2",春节假期,2024-01-31 00:00:00.000,2024-02-19 23:59:59.000,,"20","1",,2024-01-03 09:26:59.000,,2024-01-03 09:26:59.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee828c30f3","91320707313902080X","3",设备检修,2024-01-03 00:00:00.000,2024-06-30 23:59:59.000,,"180","1",,2024-01-03 09:27:12.000,,2024-01-03 09:27:12.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee830030f4","91320707313902080X","3",设备检修,2024-01-03 00:00:00.000,2024-06-30 23:59:59.000,,"180","1",,2024-01-03 09:27:12.000,,2024-01-03 09:27:12.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccee867930f5","91320707313902080X","3",检修,2024-01-03 00:00:00.000,2024-06-30 23:59:59.000,,"180","1",,2024-01-03 09:27:13.000,,2024-01-03 09:27:13.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed0723166","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:32.000,,2024-01-03 09:27:32.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed2e231c0","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:32.000,,2024-01-03 09:27:32.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed7d53212","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed8763242","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed907324c","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceed955324d","91321322MA1Q4A941G","2",整修设备,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:27:34.000,,2024-01-03 09:27:34.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018ccceee670330b","91320891555873825L","2",临时停产,2024-01-03 00:00:00.000,2024-01-04 23:59:59.000,2024-01-04 23:59:59.000,"2","1",,2024-01-03 09:27:37.000,,2024-02-07 10:00:00.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccf14823355e","91320281MA1MBXF982","2",厂房搬迁,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 09:30:13.000,,2024-01-03 09:30:13.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccf148e6355f","91320281MA1MBXF982","2",厂房搬迁,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 09:30:14.000,,2024-01-03 09:30:14.000,
2025-06-20 05:12:50.000,"8aae07328ccc15bc018cccf149443560","91320281MA1MBXF982","2",厂房搬迁,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,2024-01-10 23:59:59.000,"8","1",,2024-01-03 09:30:14.000,,2024-01-22 09:00:00.000,
2025-06-20 05:12:50.000,"8aae07328cccf5b4018cccfb6f6d051c","91320891718567823W","2",因冬季是淡季无水产饲料订单,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 09:41:19.000,,2024-01-03 09:41:19.000,
2025-06-20 05:12:50.000,"8aae07328cccf5b4018cccfb795605bc","91320305789060691C","2",天气原因,2024-01-03 00:00:00.000,2024-01-10 23:59:59.000,,"8","1",,2024-01-03 09:41:21.000,,2024-01-03 09:41:21.000,
2025-06-20 05:12:50.000,"8aae07328cccf5b4018cccfda09007c0","91320891718567823W","2",因淡季无水产计划停产,2024-01-03 00:00:00.000,2024-01-31 23:59:59.000,,"29","1",,2024-01-03 09:43:42.000,,2024-01-03 09:43:42.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd094e940024","91321291MA20FETD1D","2",休息,2024-01-07 00:00:00.000,2024-01-07 23:59:59.000,,"1","1",,2024-01-03 09:56:28.000,,2024-01-03 09:56:28.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd10beb403c8","913203825884819169","2",因订单原因暂无生产任务,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 10:04:35.000,,2024-01-03 10:04:35.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd10bf2d03c9","913203825884819169","2",因订单原因暂无生产任务,2024-01-03 00:00:00.000,2024-03-31 23:59:59.000,,"89","1",,2024-01-03 10:04:36.000,,2024-01-03 10:04:36.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c41bf0857","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c41ea0858","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c4211085c","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c42e6085d","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:10.000,,2024-01-03 10:17:10.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c4489085e","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:11.000,,2024-01-03 10:17:11.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c4491085f","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:11.000,,2024-01-03 10:17:11.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c6037087c","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:18.000,,2024-01-03 10:17:18.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c60cd087d","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:18.000,,2024-01-03 10:17:18.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c6733089a","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,,"1","1",,2024-01-03 10:17:19.000,,2024-01-03 10:17:19.000,
2025-06-20 05:12:50.000,"8aae07328ccd08de018ccd1c6735089b","91320305MA1N5W7Q1E","2",产品滞销,2024-01-03 00:00:00.000,2024-01-03 23:59:59.000,2024-01-03 23:59:59.000,"1","1",,2024-01-03 10:17:19.000,,2024-01-14 13:00:00.000,
