"时间戳","主键ID","检查主键ID","社会信用代码","省编码","市编码","区县编码","乡镇编码","隐患等级（1：一般隐患 2：重大隐患）","隐患详情","整改建议","整改状态(0：未整改 1：已整改)","提交行政执法状态","预估/期限整改时间","风险表id","风险代码","检查时间","检查部门","隐患状态","信息来源：1-企业自查 2-监管检查 3-监管部门下发 4-行政执法检查","记录表id"," info表id","原表id","创建人","创建日期","修改人","修改日期"," 数据来源","计划id"
2026-03-11 21:02:32.000,"01417af7-d566-691fb2934393ef5a3a","4cf66ee3-d4a2-2e1fb2934393ef5a3a","91320509MA1MQ0HW0J","320000","320500","320509","320509105","1",雨水井埙坏，安全隐患。,请按照管控措施要求完成整改,"1",,2023-11-27 00:00:00.000,,"0301",2023-11-27 11:46:51.000,苏州市三发经编纺织有限公司,"1","1","240ba8e6675b437ba46549c17bdf1279",,"56aaa4b7156b7dba1fb2934393ef5a3a",,,,2023-11-27 11:46:51.000,,
2026-03-11 21:02:32.000,"01df91af-c90c-466590930d57763f95","0e843f2a-2a2f-c06590930d57763f95","9132050971862009X1","320000","320500","320509","320509004","1",应急灯不亮,请按照管控措施要求完成整改,"1",,2023-11-02 00:00:00.000,,"0301",2023-11-02 10:01:27.000,苏州双之铨电脑精密配件有限公司,"1","1","1cbba9c9953142d2897b56667441b841",,"540a63543264df626590930d57763f95",,,,2023-11-02 10:01:27.000,,
2026-03-11 21:02:32.000,"01df91af-c90c-4668ff1abf1eb7c9a5","0e843f2a-2a2f-c068ff1abf1eb7c9a5","9132050971862009X1","320000","320500","320509","320509004","1",应急灯不亮,请按照管控措施要求完成整改,"1",,2023-11-02 00:00:00.000,,"0301",2023-11-02 10:01:27.000,苏州双之铨电脑精密配件有限公司,"1","1","1cbba9c9953142d2897b56667441b841",,"47ff96c114e26c1768ff1abf1eb7c9a5",,,,2023-11-02 10:01:27.000,,
2026-03-11 21:02:32.000,"01e87a7638d444ada8abbd1fe9bad959",rwjl01e87a7638d4a8abbd1fe9bad959,"91320592MA1Q4AJG3G","320000","320500","320582","320582403","1",有飞棉,请按照管控措施要求完成整改,"1",,2023-12-23 00:00:00.000,,"0901",2023-11-23 00:00:00.000,张家港保税区衣者毛纺有限公司,"1","1",df9a4836340d4e83910e12847a3a4306,,f1e6d3d24d914093a8abbd1fe9bad959,,,,2023-11-28 23:27:00.000,,
2026-03-11 21:02:32.000,"02ace43ba05448f866091276b444761b",rwjl33993945c6b866091276b444761b,"913205827673999260","320000","320500","320582","320582101","1",喷漆场所堆放杂物,请按照管控措施要求完成整改,"1",,2023-12-27 00:00:00.000,,"0717",2023-11-27 11:22:57.000,张家港赛姆考机电有限公司,"1","1","2370c589d0e04bcc9550bd4beb09f8aa",,ac48f6b7c862112b66091276b444761b,,,,2023-11-28 22:23:16.000,,
2026-03-11 21:02:32.000,"063d83d0c5cc4c714c5128545ab26c98","063d83d0c5cc4c714c5128545ab26c98","91320507323873455K","320000","320500","320507","320507100","1",未设置安全警示标志,请按照管控措施要求完成整改,"1",,2023-12-02 00:00:00.000,,"0301",2023-11-17 15:36:32.000,相城区应急管理局,"1","2","54b6bdeaef3441918cf5b79ef55dbc64",,c5e9dc2f49ff554a4c5128545ab26c98,,,,2023-11-17 15:36:32.000,,
2026-03-11 21:02:32.000,"063d83d0c5cc4c716e6b3e3d6b933e80","063d83d0c5cc4c716e6b3e3d6b933e80","91320507323873455K","320000","320500","320507","320507100","1",未设置安全警示标志,请按照管控措施要求完成整改,"1",,2023-12-02 00:00:00.000,,"0301",2023-11-17 15:36:32.000,相城区应急管理局,"1","2","54b6bdeaef3441918cf5b79ef55dbc64",,"79b5c6880dea0a516e6b3e3d6b933e80",,,,2023-11-17 15:36:32.000,,
2026-03-11 21:02:32.000,"063d83d0c5cc4c719598c21b401b7dbe","063d83d0c5cc4c719598c21b401b7dbe","91320507323873455K","320000","320500","320507","320507100","1",未设置安全警示标志,请按照管控措施要求完成整改,"1",,2023-12-02 00:00:00.000,,"0301",2023-11-17 15:36:32.000,相城区应急管理局,"1","2","54b6bdeaef3441918cf5b79ef55dbc64",,"3ddf618ad88d19549598c21b401b7dbe",,,,2023-11-17 15:36:32.000,,
2026-03-11 21:02:32.000,"08101d27-9209-a1a4e1cdbc0f8685fe","2241ec24-42ea-20a4e1cdbc0f8685fe","91320509561827497K","320000","320500","320509","320509105","1",不涉及,请按照管控措施要求完成整改,"1",,2023-11-05 00:00:00.000,,"0309",2023-11-05 13:48:11.000,吴江市诚友纺织印花有限公司,"1","1",fdf57e85752b4da1b400d1aeff575620,,"7834aede7f3431e5a4e1cdbc0f8685fe",,,,2023-11-05 13:48:11.000,,
2026-03-11 21:02:32.000,"0f503e833958406109b1351743269181",rwjl0f503e83395809b1351743269181,"91320582MA1N3UKB5M","320000","320500","320582","320582106","1",维保记录中航车防脱钩失效,请按照管控措施要求完成整改,"1",,2023-12-03 00:00:00.000,,"0717",2023-11-03 00:00:00.000,江苏欧锐克智能装备有限公司,"1","1",c7f6a09f214842edb611ef7659103e45,,dd6fc2f0bd4177d809b1351743269181,,,,2023-11-28 23:56:49.000,,
