"时间戳","主键","创建人","创建时间","修改人","修改时间","企业id","标签id","标签名称","数据来源"
2025-10-26 19:33:13.000,"00007856f829313ca797c514bc569ed5",,,,,"91320583MA1W4X421Y",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:08.000,"00010768f1061d2b05a512353c9fafe6",,,,,"913205066668078715",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:13.000,"00011da28f26836a2bd6db0a55a39120",,,,,"91320585562930146A","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:11.000,"000158addae99f9c97a97ca9bc412720",,,,,"91320582MA20QBHF3L","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:09.000,"000195e1f390ceb9d823d9fa2e3ddf1a",,,,,"913205091382316458","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:11.000,"0001fca05ac6fd420feeef7ade27d7a5",,,,,"91320581785579912H",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:10.000,"0002fec68c9c421f75e26bdaacab8056",,,,,"913205810882551110",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"000301a23a05e07b36e2b0b56dfd942f",,,,,"91320509346489835L",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"0003462856e5c4bf870d15949198b968",,,,,"91320507734419951U",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"0003af445a346acc28751f32fc8e3824",,,,,"91320582MACBCREN5K","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:11.000,"0003fc5328c5dcd79cc2538a4856467e",,,,,"913205827724689658",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:12.000,"00051747970b7a42d3364936c1b8fff4",,,,,"913205830941253646","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:13.000,"0006a065449eba9002a7ce3ab8b6eda3",,,,,"91320594398226033H","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:14.000,"000728dd22240103226649d9ccea389f",,,,,"92320583MA1WFF7Y30",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"000830ae9f7578c3d9cc5d016ea8760f",,,,,"91320509673047671Y",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
