"时间戳","管理类别名称","主要事故类别","风险点","备注","管理类别编码","主键ID","风险代码","风险名称","创建人","修改人","创建时间","修改时间","排序","删除标识"
2026-03-11 19:06:55.000,（01）非煤矿山,冒顶片帮,工程地质条件中等及复杂矿段,,"01","202012301114001 ","0101",（金属非金属地下矿山）矿井工程地质条件中等及复杂环境下采矿,,,,,101,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,冒顶片帮、物体打击、中毒和窒息,采场或掘进工作面，有漏、渗、滴水的高含硫采场,,"01","202012301114002 ","0102",（金属非金属地下矿山）空场法、崩落法、充填法采矿，高硫矿采矿,,,,,102,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,冒顶片帮、物体打击、高处坠落,凿岩、天井、溜井施工点、天井、溜井上、下井口,,"01","202012301114003 ","0103",（金属非金属地下矿山）采掘凿岩、天井、溜井作业,,,,,103,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,透水、冒顶片帮、物体打击,井底车场、主要大巷、行人巷道、采掘工作面,,"01","202012301114004 ","0104",（金属非金属地下矿山）保安矿柱、防水矿柱、采场矿柱、隔离矿柱未按设计留置,,,,,104,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,矿井单个采空区≥0.5万m3、连续采空区≥5万m3地段、采场、掘进工作面,,"01","202012301114005 ","0105",（金属非金属地下矿山）采空区治理不及时,,,,,105,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,冒顶片帮,采场工作面、掘进工作面、采空区,,"01","202012301114006 ","0106",（金属非金属地下矿山）采深达500m以下，严重地压倾向,,,,,106,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌、高处坠落、透水,地表塌陷区,,"01","202012301114007 ","0107",（金属非金属地下矿山）存在地表塌陷坑,,,,,107,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,高处坠落、物体打击,主井、副井、回风井、中段及采场进风（回风）道的行人出口,,"01","202012301114008 ","0108",（金属非金属地下矿山）矿井、中段、采场安全出口与设计不符,,,,,108,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,透水、淹溺,有地表水及强雨水倒灌井下矿井；矿井主要大巷、水泵房、矿井中段水平、采场,,"01","202012301114009 ","0109",（金属非金属地下矿山）矿井水文地质条件中等及复杂环境下开采,,,,,109,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,透水,接近水体的地带或可能与水体有联系的采掘工作面,,"01","202012301114010 ","0110",（金属非金属地下矿山）存在突水威胁区域或可疑区域,,,,,110,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,物体打击、高处坠落、机械伤害,单罐提升3人及以上的提升系统,,"01","202012301114011 ","0111",（金属非金属地下矿山）竖井提升设备选型及使用不规范,,,,,111,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,高处坠落、火灾、物体打击,升降人员的竖井提升系统、井巷掘进施工时的箕斗提升、有人员通行的斜井、斜坡道、变配电室、主要大巷,,"01","202012301114012 ","0112",（金属非金属地下矿山）提升、运输机电设备未设置保护与闭锁装置，检测不到位,,,,,112,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,车辆伤害、物体打击,轨道运输机道、井底车场、调车场,,"01","202012301114013 ","0113",（金属非金属地下矿山）运输巷道尺寸不够,,,,,113,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,触电、火灾、灼烫,升降人员提升机房、地面变电所、供电线路,,"01","202012301114014 ","0114",（金属非金属地下矿山）供电线路、电气设备使用维护不到位,,,,,114,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,触电、火灾、中毒和窒息,井下变（配）电硐室、采区变电室、供电线路,,"01","202012301114015 ","0115",（金属非金属地下矿山）井下油浸式变压器、电气设备、井下接地网检测维护不及时,,,,,115,"0"
