"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
1213257,"MULTIPOLYGON (((120.84380666300001 31.17876762700007, 120.84385874500003 31.17877102400007, 120.84386299000005 31.17870593600003, 120.84381090800002 31.178702539000028, 120.84380666300001 31.17876762700007)))","0f7de29075e6132b0ff6d51a114639c5",周庄镇,昆山市,龙亭村大农户场地旁厕所,厕所4,龙亭村委会,"3205830215427","3.5",120.843834827,31.1787367815,"",0,0,0,0,0,"320583112","320583","320583112205",,0,,,,,,"3","35",
1569099,"MULTIPOLYGON (((120.77618074124825 31.648037206052265, 120.77617599732446 31.647944592968656, 120.77613232264866 31.64794614519849, 120.77613192784622 31.647938036011624, 120.7760973785912 31.64793926268686, 120.77609777069563 31.647947371873784, 120.77609145205895 31.647947597603604, 120.77609594687056 31.648040216083132, 120.77618074124825 31.648037206052265)))",e24960e13f33a0bd774ea4f99c75ca07,琴川街道,常熟市,荷花居民住宅区14幢,荷花居民住宅区14幢,荷花社区居委会,"3205810223632","7",120.776135305,31.6479907106,"",0,0,0,0,0,"320581005","320581","320581005011",,1,,,,,,"1","",
1288284,"MULTIPOLYGON (((121.06689184200002 31.435534681000036, 121.06703342000003 31.435534681000036, 121.06703342000003 31.435447830000044, 121.06689184200002 31.435447830000044, 121.06689184200002 31.435534681000036)))",E24D5A58E65D43B79A3AE681D5320C50,城厢镇,太仓市,花墙村庙浜组16号,花墙村庙浜组16号主楼,太丰社区,"3205850256117","6",121.066962631,31.4354912555,"5",0,0,0,0,1,"320585100","320585","320585100024",,0,,,,,,"1","",
1305509,"MULTIPOLYGON (((121.08130109300009 31.713094151000064, 121.08132863000003 31.71309831900004, 121.08133817200007 31.713035268000056, 121.08128695100004 31.713027516000068, 121.08127740900011 31.713090566000062, 121.08130109300009 31.713094151000064)))",e256e5b32aa6a398890479f016fcac38,璜泾镇,太仓市,长洲村,长洲村7组6号辅房1,长洲村委会,"3205850234542","4",121.081307791,31.7130629173,"",0,0,0,0,0,"320585105","320585","320585105223",,0,,,,,,"3","35",
1424957,"MULTIPOLYGON (((120.72035914915546 31.594359917875977, 120.7204937102166 31.594366914601494, 120.72050067366717 31.59427560463547, 120.72042605511842 31.594269464064553, 120.7204273150686 31.594252156611788, 120.72037083404678 31.59424830121816, 120.72035914915546 31.594359917875977)))",e25b4561841a0bcdfe0c7db7e3528f81,莫城街道,常熟市,坭桥7组荷花路29号,钱小弟的住宅,言里村委会,"3205810229409","7",120.720427902,31.5943127494,"",0,0,0,0,0,"320581006","320581","320581006203",,1,,,,,,"1","",
1117941,"MULTIPOLYGON (((121.18597521100003 31.57189774300008, 121.18601539300005 31.571772174000046, 121.18592560200011 31.571743441000024, 121.18588542000009 31.571869010000057, 121.18597521100003 31.57189774300008)))",E26346B03EF445B9B24E54F04413DD43,浮桥镇,太仓市,新邵村4组,新邵村陈峰1,新邵村委会,"3205850038624","7",121.185950407,31.571820592,"",0,0,0,0,0,"320585103","320585","320585103223",,0,,,,,,"1","",
1367762,"MULTIPOLYGON (((121.03903853000008 31.56994129000003, 121.03901769000004 31.569973210000057, 121.0389607400001 31.569940470000063, 121.03890435000005 31.570037100000036, 121.0389560000001 31.57006769000003, 121.03900318000001 31.570095640000034, 121.03908004000004 31.56996588000004, 121.03903853000008 31.56994129000003)))",e2648e041ef32ba6767add70d0d98f54,沙溪镇,太仓市,沙溪镇洪泾新村3－101号,沙溪镇洪泾新村3－101号,洪泾村委会,"3205850203973","12",121.038990787,31.5700118193,"",0,0,0,0,0,"320585110","320585","320585110206",,1,,,,,,"1","",
1779550,"MULTIPOLYGON (((120.78484217932316 31.668042221171618, 120.78480327914804 31.668023189718497, 120.78478641506103 31.668048400413397, 120.78482531613554 31.66806743186652, 120.78484217932316 31.668042221171618)))",e265898a075cfd66af111381949877d3,琴川街道,常熟市,东三环路14号,常龙混凝土有限公司仓库3,东环村委会,"3205810691061","3",120.784814297,31.6680453108,"1",1,0,0,0,0,"320581005","320581","320581005206","0",0,2,,,,,"3","33",
830419,"MULTIPOLYGON (((120.78763902100002 31.83336264500008, 120.78755969300005 31.833341758000074, 120.78754369500007 31.833337547000042, 120.78741480700012 31.83369434100007, 120.78758508900012 31.833739174000073, 120.78771397700007 31.833382380000046, 120.78763902100002 31.83336264500008)))",e2664494e1db909c5960588900d7b135,南丰镇,张家港,东沙人民路1号,张家港市新艺五金有限公司厂房8,东风村,"3205820255845","4.8",120.787564392,31.8335383603,"",0,0,0,0,0,"320582108","320582","320582108238",,1,,,,,,"3","32",
1288794,"MULTIPOLYGON (((121.02917879000006 31.18620013000003, 121.02921470000001 31.18620106000003, 121.0292139600001 31.18622940000006, 121.02943287000005 31.18623511000004, 121.02943700000003 31.18607712000005, 121.02921809000009 31.186071410000068, 121.0292173900001 31.18609814000007, 121.02918148000003 31.18609721000007, 121.02917879000006 31.18620013000003)))",e289624409d619b5b427273904bcc087,淀山湖镇,昆山市,上洪路36,上洪路36号,杨湘泾村,"3205830179531","6",121.029313181,31.1861528617,"",0,0,0,0,0,"320583110","320583","320583110208",,1,,,,,,"3","20",
