"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-16 18:31:47.000,"91320585573827507G",苏州光彩钢板仓有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓港港口开发区申江路1号,C,"33","331","3311","0",,"20250313","0",制造业,金属制品业,结构性金属制品制造,金属结构制造,"320585500",太仓港经济技术开发区,E,,,,,,,,,,,,,"2",,,
2026-03-16 18:31:47.000,"91320585MA20MEJK38",太仓美特思纺织品有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",,C,"17","171","1711","2",,"20240121","0",制造业,纺织业,棉纺织及印染精加工,棉纺纱加工,"320585110",沙溪镇,E_6,,,,,,,,太仓市庄西村,,,,,"1",,,
2026-03-16 18:31:37.000,"91320214MA1N0UBK5A",无锡鑫诺旺金属制品加工有限公司,江苏省,"320000",苏州市,"320500",常熟市,"320581",常熟市港南路9号,C,"33","331","3311","2",,,"0",制造业,金属制品业,结构性金属制品制造,金属结构制造,,,E_4,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:49.000,"92320585MA1Y31J698",太仓市高新区诺玛玻璃制品商行,江苏省,"320000",苏州市,"320500",太仓市,"320585",,C,"41","419",,"2",,"20240124","0",制造业,其他制造业,其他未列明制造业,,"320585501",高新区,E_8,,,,,,,,江苏省苏州市太仓市娄东街道镇江路2号,"121.13909","31.48744",,,"1",,,
2026-03-16 18:31:45.000,"91320583593908945N",昆山利运达五金机械有限公司,江苏省,"320000",苏州市,"320500",昆山市,"320583",张浦镇花园路1号房,C,"43","433",,"2",,"20250109","0",制造业,金属制品、机械和设备修理业,专用设备修理,,"320583111",张浦镇,E_4,"0","1",,,,,,昆山市金家庄18号,,,,,"1",,,
2026-03-16 18:31:43.000,"913205825678049158",张家港东夷机械有限公司,江苏省,"320000",苏州市,"320500",张家港市,"320582",镇北路,C,"34","348","3484","2",,"20240314","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320582105",乐余镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:44.000,"91320582779670429J",张家港普利安自动化设备有限公司,江苏省,"320000",苏州市,"320500",张家港市,"320582",杨舍镇晨南村,C,"34","348","3484","2",,"20240126","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320582110",经开区（杨舍镇）,E_4,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:40.000,"91320507354532565Q",苏州市百占包装材料有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市漕湖街道春兴路59号2号厂房2楼北面,C,"29","292","2926","2",,"20250509","0",制造业,橡胶和塑料制品业,塑料制品业,塑料包装箱及容器制造,"320507009",漕湖街道,E_5,"0","1",,,,,,苏州市相城区,,,,,"1",,,
2026-03-16 18:31:47.000,"91320585675468787P",苏州丽婴房婴童用品有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市沙溪镇岳王台资科技创新产业园,G,"59","594","5949","2",,"20250312","1",交通运输、仓储和邮政业,装卸搬运和仓储业,危险品仓储,其他危险品仓储,"320585110",沙溪镇,O,"0","1",,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"12320500466959475A",中科苏州药物研究院,江苏省,"320000",苏州市,"320500",苏州工业园区,"320591",苏州工业园区裕新路108号,C,"27","271",,"2",,"20250219","0",制造业,医药制造业,化学药品原料药制造,,"320591408",独墅湖科教创新区,A,,,,,,,,江苏省苏州市苏州工业园区唯亭街道裕新路108号,"120.742143","31.353783",,,"1",,,
