"主键id","鉴定依据:1 民标 2 危标 3 工标 4 完标 5 其他","委托日期,2011-12-22 00:00:00","建筑地址,金筑街588号","鉴定机构","图斑ID,3205080016109","区域名称 姑苏","房屋类型,示例：1","鉴定报告访问地址","报告文件2","鉴定类型:1 安全性鉴定 2 危房性鉴定 3 其他","是否解危 1 已解危， !=1 未解危","鉴定结论","正式鉴定日期,2011-12-27 00:00:00","建筑名称","街道名称,示例：白洋湾街道","报告生成日期,2011-12-27 13:40:44","房间号码","区域ID,示例：320508","报告编号,示例：苏房安鉴[2011]金咨B字第10号","项目名称,示例：金筑街588号","街道ID","creator","create_time","updater","update_time","tenant_id","deleted"
2005452612433055745,"","2019-08-22 00:00:00",朱家园10号,"","3205080038760",姑苏,"1","","","3","","","2019-09-02 00:00:00","",沧浪街道,"2019-09-02 15:01:52","","320508",苏房安鉴[2019]意A危字第20号,朱家园10号,"",,2025-12-29 09:35:36.968,,2025-12-29 09:35:36.968,,0
1990715319705047041,"1","2023-10-10 00:00:00",江苏省苏州市常熟市浒浦镇新港路69号,常州市建筑科学研究院集团股份有限公司,"3205810101947",常熟,"1",http://218.4.84.173:8003\fileAnnexes/2deac5e3-7999-4e80-959a-2b2123dcfc3f/20231106/wu_1hehjsfbqo2q1stvth9su953r8.pdf,"","1",,Dsu,"",浒浦镇新港路69号,"","2023-10-18 00:00:00","","320581",【常熟】苏鉴字第014号2301621,浒浦镇新港路69号,"",,2025-11-18 17:34:52.577,,2025-11-18 17:34:52.577,,0
1988794591321698306,"1","2022-07-21 00:00:00",苏州市相城区黄埭镇中市北路92号春申中学 综合楼,苏州方正工程技术开发检测股份有限公司,"3205070021601",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20251112/wu_1j9qvd1og1j8p1ps41smot94178s8.pdf,"","1","",Bsu,"",综 合 楼,"","2025-11-11 00:00:00","","320507","",综 合 楼,"",,2025-11-13 10:22:35.245,,2025-11-13 10:22:35.245,,0
2004125309815951362,"3","2023-03-31 00:00:00",苏州市吴中区东山镇洞庭路 8 号,江苏煜顺工程检测技术服务有限公司,"3205060209256",吴中,"1","","","1","",四,"",苏州市东山亚美二期3#厂房鉴定,东山镇,"2024-01-30 00:00:00","","320506",【吴中】苏鉴字第011号2300448,苏州市东山亚美二期3#厂房鉴定,"",,2025-12-25 17:41:23.365,,2025-12-25 17:41:23.365,,0
1988794654844432386,"","2022-07-02 00:00:00",相城区黄埭镇长平路10号,苏州市建设工程质量检测中心有限公司,"3205070045006",相城,"1","","","1","0","","",苏州济丰包装纸业有限公司厂房,黄埭镇,"","","320507","",苏州济丰包装纸业有限公司厂房,"",,2025-11-13 10:22:50.390,,2025-11-13 10:22:50.390,,0
1988794717012406273,"","2022-07-05 00:00:00",相城区春光路,苏州方正工程技术开发检测有限公司,"3205070021401",相城,"1","","","1","0","","",黄埭中心幼儿园西校区幼儿园,黄埭镇,"","","320507","",黄埭中心幼儿园西校区幼儿园,"",,2025-11-13 10:23:05.213,,2025-11-13 10:23:05.213,,0
2005452612449832961,"1","2024-03-05 00:00:00",常熟市金山路8号,江苏煜顺工程检测技术服务有限公司,"3205810650789",常熟,"1","","","1","",Csu,"",金山路集贸市场检测鉴定,"","2024-03-19 00:00:00","","320581",【常熟】苏鉴字第011号2400306,金山路集贸市场检测鉴定,"",,2025-12-29 09:35:36.972,,2025-12-29 09:35:36.972,,0
2004125311162322946,"1","2025-09-25 00:00:00",秋泽村16组卢家址42号,联检（江苏）科技股份有限公司,"3205090197746",吴江,"2","","","1","",Dsu,"",平望镇秋泽村16组卢家址42号房屋安全性鉴定,"","2025-10-21 00:00:00","","320509",【吴江】苏鉴字第014号2502119,平望镇秋泽村16组卢家址42号房屋安全性鉴定,"",,2025-12-25 17:41:23.686,,2025-12-25 17:41:23.686,,0
1988794768396824578,"1","2025-05-27 00:00:00",苏州市相城区黄埭镇春丰路 408号,苏州方正工程技术开发检测股份有限公司,"3205070015145",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20250616/wu_1itrd0d8l9nmn7i1i6011ok5dn8.pdf,"","1","",Bsu,"",苏州市公安局相城分局黄埭派出所门卫,"","2025-06-13 00:00:00","","320507",【相城】苏鉴字第002号2500949,苏州市公安局相城分局黄埭派出所门卫,"",,2025-11-13 10:23:17.463,,2025-11-13 10:23:17.463,,0
1988794856728866818,"3","2024-03-22 00:00:00",苏州市相城区安民路2号,苏州方正工程技术开发检测有限公司,"3205070044851",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20240527/wu_1hus0qeec1g1vd8bh241rhc19108.pdf,"","1","",二,"",苏州二叶制药有限公司研发生产原料药厂房,"","2024-04-29 00:00:00","","320507",【相城】苏鉴字第002号2400491,苏州二叶制药有限公司研发生产原料药厂房,"",,2025-11-13 10:23:38.524,,2025-11-13 10:23:38.524,,0
2004125328241528833,"","2021-12-02 00:00:00",平望镇溪港村6组生田圩15号,"","3205090444173",吴江,"2","","","3","","","2021-12-02 00:00:00","",平望镇,"2021-12-02 13:37:18","","320509",苏房农住危鉴[2021]意A字第16号,平望镇溪港村6组生田圩15号,"",,2025-12-25 17:41:27.757,,2025-12-25 17:41:27.757,,0
2004125328245723138,"2","2022-12-26 14:19:06","6组生田圩15号朱小根（史惠英）","","3205090444173",吴江,"2","","","2","0",D,"","",平望镇,"","","","","6组生田圩15号朱小根（史惠英）_","",,2025-12-25 17:41:27.758,,2025-12-25 17:41:27.758,,0
1988795052485423106,"","2023-04-03 00:00:00",黄埭镇太东路2988号,苏州中正工程检测有限公司,"3205070083528",相城,"1",http://218.4.84.173:8003\fileAnnexes/dfe9928a-8830-47a0-8890-93cb0bc10487/20230417/wu_1gu6bucgg65at3v1ada1g04kc08.pdf,"","1","","","",领裕电子5#厂房,"","2023-04-17 00:00:00","","320507",【相城】苏鉴字第005号2300480,领裕电子5#厂房,"",,2025-11-13 10:24:25.195,,2025-11-13 10:24:25.195,,0
1988795057904463874,"3","2023-01-10 00:00:00",苏州市相城区黄埭镇东桥安民路2号,苏州方正工程技术开发检测有限公司,"3205070044464",相城,"1",http://218.4.84.173:8003\fileAnnexes/ca22631d-f3fa-4c3a-93e4-5e55c01de841/20230118/wu_1gn1qlc727us1qr210ci1hv4hv38.pdf,"","1","",b,"",苏州二叶制药有限公司全球CMC生产及研发中心项目（综合制剂车间、泵房）装修工程房屋安全鉴定,"","2023-01-14 00:00:00","","320507",【相城】苏鉴字第002号2300073,苏州二叶制药有限公司全球CMC生产及研发中心项目（综合制剂车间、泵房）装修工程房屋安全鉴定,"",,2025-11-13 10:24:26.487,,2025-11-13 10:24:26.487,,0
1988795060840476674,"3","2023-02-20 00:00:00",相城区黄埭镇健民路75号,苏州恒信建设技术开发检测有限公司,"3205070039771",相城,"1",http://218.4.84.173:8003\fileAnnexes/cee3f9c2-81fe-4107-a32b-bb8cf2bc9dc2/20230621/wu_1h3e3o26rnv3ucs1paq15ub1neh8.pdf,"","1","",一,"",苏州明纬科技有限公司 75#(04 区)车间,"","2023-05-28 00:00:00","","320507",【相城】苏鉴字第010号2300264,苏州明纬科技有限公司 75#(04 区)车间,"",,2025-11-13 10:24:27.187,,2025-11-13 10:24:27.187,,0
1988795071611449346,"1","2025-07-08 00:00:00",人民路(街、巷)无号,苏州方正工程技术开发检测股份有限公司,"3205070045230",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20250826/wu_1j3iqtopf1bvd18o14v0124ac5c8.pdf,"","1","",Bsu,"",黄埭镇社区卫生服务中心辅房,黄埭镇,"2025-08-02 00:00:00","","320507",【相城】苏鉴字第002号2501386,黄埭镇社区卫生服务中心辅房,"",,2025-11-13 10:24:29.755,,2025-11-13 10:24:29.755,,0
1988795082814435330,"3","2023-03-02 00:00:00",湖村荡路16号,苏州中正工程检测有限公司,"3205070079480",相城,"1",http://218.4.84.173:8003\fileAnnexes/dfe9928a-8830-47a0-8890-93cb0bc10487/20230313/wu_1grc6mlsnjhe1kdf1pfg1ecqtnv8.pdf,"","1","",a,"",长风药业股份有限公司仓库装修工程,漕湖街道,"2023-03-08 00:00:00","","320507",【相城】苏鉴字第005号2300279,长风药业股份有限公司仓库装修工程,"",,2025-11-13 10:24:32.426,,2025-11-13 10:24:32.426,,0
1988795090712309762,"3","2025-05-07 00:00:00",康阳路311号,苏州市相城检测股份有限公司,"3205070079648",相城,"1",http://218.4.84.173:8003\fileAnnexes/a2261d72-decc-4d6c-bcbd-e0847b72469c/20250620/wu_1iu5jim06s16191v861v26dri8.pdf,"","1","",二,"",漕湖污水处理厂反冲洗设施间,漕湖街道,"2025-05-30 00:00:00","","320507",【相城】苏鉴字第007号2501043,漕湖污水处理厂反冲洗设施间,"",,2025-11-13 10:24:34.310,,2025-11-13 10:24:34.310,,0
2004125332175785985,"","2012-07-04 00:00:00",龙惠花苑11幢901室,"","3205050007581",虎丘,"1","","","3","","","2012-07-06 00:00:00","","","2012-07-06 13:58:38","","320505",苏房安鉴[2012]改A字第1806号,龙惠花苑11幢901室,"",,2025-12-25 17:41:28.696,,2025-12-25 17:41:28.696,,0
2005452612454027265,"1","2025-01-09 00:00:00",江苏省常熟市金山路8号,江苏煜顺工程检测技术服务有限公司,"3205810650789",常熟,"1","","","1","",Bsu,"",金山路集贸市场房屋加固后安全性鉴定,"","2025-02-20 00:00:00","","320581",【常熟】苏鉴字第011号2500198,金山路集贸市场房屋加固后安全性鉴定,"",,2025-12-29 09:35:36.973,,2025-12-29 09:35:36.973,,0
2005452614752505858,"","2023-07-10 00:00:00",蔺谊西路8号车坊实验小学,苏州市建设工程质量检测中心有限公司,"3205710007244",园区,"1","","","1","","","",苏州工业园区车坊实验小学原幼教楼,斜塘街道,"","","320571","",苏州工业园区车坊实验小学原幼教楼,"",,2025-12-29 09:35:37.522,,2025-12-29 09:35:37.522,,0
1988794485558128641,"3","2024-05-18 00:00:00",春秋路(街、巷)20号无栋,苏州方正工程技术开发检测有限公司,"3205070084582",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20240606/wu_1hvlgt8us1qic4i3br9v1k17nb8.pdf,"","1","",二,"",春秋路20号资产房屋2幢,黄埭镇,"2024-06-05 00:00:00","","320507",【相城】苏鉴字第002号2400558,春秋路20号资产房屋2幢,"",,2025-11-13 10:22:10.029,,2025-11-13 10:22:10.029,,0
