"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
161067,"MULTIPOLYGON (((120.46324560800008 31.133442968000054, 120.4632565710001 31.13358304600007, 120.46372388100008 31.13354647400007, 120.46371291700007 31.133406395000065, 120.46324560800008 31.133442968000054)))","310136d030f29d9c6674062ae8a9c5f6",临湖镇,吴中区,新市街518号,东润花园8栋,石塘村委会,"3205060173839","8.2",120.463484745,31.1334947207,"",0,0,0,0,0,"320506111","320506","320506111231",,0,,,,,,"1","",
23982,"MULTIPOLYGON (((120.49663440300003 30.850299608000057, 120.4965320870001 30.850290090000044, 120.49652158900005 30.850402941000027, 120.49662390600008 30.85041245900004, 120.49663440300003 30.850299608000057)))","0967cdb9f46a48748e7cbd35975ba691",桃源镇,吴江区,瑾下浜村委会12组16号,瑾下浜村委会12组16号,瑾下浜村委会,"3205090232622","6.6",120.496577996,30.8503512746,"",0,0,0,0,0,"320509106","320509","320509106217",,1,,,,,,"1","",
24065,"MULTIPOLYGON (((120.62415680600009 31.05371973800004, 120.62411442700011 31.053704997000068, 120.62407625600008 31.053691720000074, 120.6240254600001 31.053674052000076, 120.6240030670001 31.053738433000035, 120.62413441300009 31.053784119000056, 120.62415680600009 31.05371973800004)))","54b3fe8732e04e04967befc03d5e6926",八坼街道,吴江区,直港村委会原练聚7组,直港村委会原练聚7组张菁,直港村委会,"3205090444432","11",120.624079937,31.0537290854,"",0,0,0,0,0,"320509005","320509","320509005200",,0,,,,,,"1","",
1529734,"MULTIPOLYGON (((120.79009002473492 31.744461882709743, 120.79007234586209 31.744433146672407, 120.79003648089895 31.74445126621299, 120.7900604918982 31.74449108279731, 120.79007149510346 31.74450932824294, 120.7901128926959 31.744575110952667, 120.79022323861159 31.744524219217396, 120.79017046729325 31.744440364631203, 120.79013528311691 31.744456591098867, 120.79012773690556 31.744444642706128, 120.79009002473492 31.744461882709743)))","0191372880ebe8f24ddc795e7d3e4208",海虞镇,常熟市,"14组南塘岸新村二区10号",张伟住宅,龙墩村委会,"3205810135960","8",120.79013065,31.7444997924,"",0,0,0,0,0,"320581102","320581","320581102210",,0,,,,,,"1","",
1719484,"MULTIPOLYGON (((121.01188538460292 31.646148719687687, 121.01191742834669 31.64613416326108, 121.0119187593433 31.646136202923458, 121.01203446881573 31.64608088202715, 121.01199358743418 31.646018300903904, 121.01187787706249 31.64607361910231, 121.01189350638026 31.6460975437667, 121.01186239343474 31.646111681109232, 121.01188538460292 31.646148719687687)))","9e1d6075e9dec9fb6c4e4e449fad274c",支塘镇,常熟市,"5组庄基巷24号","24号民宅",何北村委会,"3205810675876","4",121.011947118,31.6460835023,"",0,0,0,0,0,"320581109","320581","320581109232",,1,,,,,,"1","",
1624867,"MULTIPOLYGON (((120.94895062906835 31.61439260063804, 120.94896744099469 31.614357616111135, 120.94893263093627 31.614345368244187, 120.94891102472411 31.614390346937, 120.94894579521235 31.614402673944312, 120.94895062906835 31.61439260063804)))","3330b2b67e48274c5d1f549e36faea22",支塘镇,常熟市,康富新村二区169号,康富新村二区169号辅房,支塘市镇社区居委会,"3205810672332","3",120.948939227,31.6143740023,"",0,0,0,0,0,"320581109","320581","320581109002",,0,,,,,,"1","",
817912,"MULTIPOLYGON (((120.45319975600012 31.946882335000055, 120.45183908000001 31.946880338000028, 120.45175871100002 31.946880220000025, 120.45175780500006 31.94732722400005, 120.45185273400011 31.947327363000056, 120.45319885700007 31.947329339000078, 120.45319975600012 31.946882335000055)))","0a36ed533a5de34ee94ea8ecfbebbbc3",保税区,张家港,泰来路8号,扬帆木业城-仓库EF,保税区,"3205820050396","8",120.452478782,31.9471047796,"",0,0,0,0,0,"320582403","320582","320582403001",,0,,,,,,"3","33",
975945,"MULTIPOLYGON (((120.55005682800004 31.84540551200007, 120.55066940000006 31.84540607100007, 120.55066951100002 31.845316796000077, 120.5500569400001 31.845316237000077, 120.55005682800004 31.84540551200007)))","902CED37C4E14B7BBE1BF575F30DB7FC",杨舍镇,张家港,东湖苑1期,东湖苑7幢,赵庄社区,"3205820176900","18",120.55036317,31.845361154,"",0,0,0,0,0,"320582110","320582","320582110155",,1,,,,,,"1","",
7979,"MULTIPOLYGON (((120.74731075000011 30.991094580000038, 120.74731128000008 30.99116139000006, 120.74738883000009 30.99116095000005, 120.74738831000002 30.99109413000008, 120.74731075000011 30.991094580000038)))","3156bde8f83c09606502e0edf5173d0c",黎里镇,吴江区,雄锋村委会田家浜32组9,雄锋村委会田家浜32组9,雄锋村委会,"3205090093986","9",120.747349793,30.9911277618,"",0,0,0,0,0,"320509107","320509","320509107201",,0,,,,,,"1","",
1720801,"MULTIPOLYGON (((120.63243287877435 31.696412568085577, 120.6324185201986 31.69635298620142, 120.63225395235804 31.696381976746864, 120.6322634563935 31.696421411119275, 120.63230310300582 31.696412016801162, 120.63230770933342 31.6964346176635, 120.63243287877435 31.696412568085577)))","6b4b56ff70dcf8fe53bd52492d9869f0",尚湖镇,常熟市,"14王介村后66号",王介村后66号辅房2,新裕村委会,"3205810508302","2.54",120.632348848,31.6963944322,"",0,0,0,0,0,"320581117","320581","320581117215",,1,,,,,,"1","",
1005123,"MULTIPOLYGON (((120.4498205000001 31.932543450000026, 120.44983933000003 31.932924210000067, 120.45038362000003 31.932904630000053, 120.4503647900001 31.932523870000068, 120.4498205000001 31.932543450000026)))","2dbaacd9b5e944fbba661a9587fc76b0",后塍街道,张家港,学田村委会晨丰公路1726号,学田村委会晨丰公路1726号,学田村委会,"3205820050863","5",120.45010206,31.93272404,"",0,0,0,0,0,"320582002","320582","320582002205",,0,,,,,,"3","32",
942486,"MULTIPOLYGON (((120.48524617900011 31.94431214000008, 120.48530790600012 31.944343400000037, 120.48533231400006 31.944308358000058, 120.48527058700006 31.944277098000043, 120.48524617900011 31.94431214000008)))",aa22a89d7b2aff0b378295bc591a1d84,后塍街道,张家港,晨阳村晨阳11组21号,晨阳村晨阳11组21号顾元龙主房,晨阳村委会,"3205820051365","6",120.485289247,31.944310249,"",0,0,0,0,0,"320582002","320582","320582002206",,0,,,,,,"1","",
943276,"MULTIPOLYGON (((120.4866947050001 31.94187772500004, 120.48675452400005 31.941913310000075, 120.4868671270001 31.941775680000035, 120.48680730800004 31.941740095000057, 120.4866947050001 31.94187772500004)))","8527567105872f2b55eb191516138268",后塍街道,张家港,张家港兴德盛化纤有限公司,张家港兴德盛化纤有限公司厂房1.,晨阳村委会,"3205820051759","4",120.486780916,31.9418267025,"",0,0,0,0,0,"320582002","320582","320582002206",,0,,,,,,"3","32",
818181,"MULTIPOLYGON (((120.47371910100003 31.937049399000045, 120.4737657610001 31.937036508000062, 120.47373345800008 31.936951484000076, 120.473686799 31.93696437400007, 120.47371910100003 31.937049399000045)))","71d1d796c62a0ee619bd3e509e7a2bbf",金港街道,张家港,东发4组30号,东发4组30号辅房,长江村委会,"3205820052472","3",120.47372628,31.9370004414,"",0,0,0,0,0,"320582001","320582","320582001250",,0,,,,,,"1","",
