附件id,附件类型,附件名称,原文件名,最后修改时间,最后执行修改事务人id,附件路径,页码大小,数据导入类型，是否是本系统生成的数据 默认0 ,创建时间,是否是本地文件 0-否  1-是 ,地区编码,操作类型,uuid,是否是本地文件, 地区编码
BOOK_ACCESSORYID,.zip,操作手册.zip,,4/6/2022 20:33,1,/opt/data-new/file//3205/320500/2022/4/sync/BOOK_ACCESSORYID.zip,1,320500,8/5/2020 21:59,1,320500,u,6b1f5d9d-b302-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280293417139834880,.pdf,（苏苏相）应急检查〔2020〕1号.pdf,,12/6/2024 20:21,USER3205196,/opt/data-new/file//3205/320507/2020/3/writ/WS320500280293408369545216.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c0a8-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280310764944756736,.doc,（苏苏相）应急立〔2020〕1号.doc,,12/6/2024 20:21,USER3205196,/opt/data-new/tmp//3205/320507/2020/3/writ/WS320500280310763023765504.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98887-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280310764965728256,.pdf,（苏苏相）应急立〔2020〕1号.pdf,,12/6/2024 20:21,USER3205196,/opt/data-new/file//3205/320507/2020/3/writ/WS320500280310763023765504.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98898-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280311849159757824,.doc,（苏苏相）应急立〔2020〕1号.doc,,12/6/2024 20:21,USER3205196,/opt/data-new/tmp//3205/320507/2020/3/writ/FILE320500280311849159757824.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d988d2-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280311849176535040,.pdf,（苏苏相）应急立〔2020〕1号.pdf,,12/6/2024 20:21,USER3205196,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280311849176535040.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d988e3-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280311901882159104,.doc,（苏苏相）应急立〔2020〕1号.doc,,12/6/2024 20:21,USER3205196,/opt/data-new/tmp//3205/320507/2020/3/writ/FILE320500280311901882159104.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d988f5-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280311901894742016,.pdf,（苏苏相）应急立〔2020〕1号.pdf,,12/6/2024 20:21,USER3205196,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280311901894742016.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98909-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280312170061762560,.pdf,（苏苏相）应急立〔2020〕1号.pdf,,12/6/2024 19:21,USER3205196,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280312170061762560.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d9891a-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280316343050309632,.docx,标点符号.docx,,12/6/2024 20:21,"USER3205013
",/opt/data-new/file//3205/320571/2020/3/other/标点符号.docx,1,320500,8/5/2020 21:59,1,320500,i,c9d9892f-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280316469223362560,.doc,（苏苏园）应急立〔2020〕1号.doc,,12/6/2024 19:21,"USER3205013
",/opt/data-new/tmp//3205/320571/2020/3/writ/WS320500280316468585828352.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98942-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280316469231751168,.pdf,（苏苏园）应急立〔2020〕1号.pdf,,12/6/2024 20:21,"USER3205013
",/opt/data-new/file//3205/320571/2020/3/writ/WS320500280316468585828352.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98952-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280316725478559744,.pdf,（苏苏园）应急立〔2020〕1号.pdf,,12/6/2024 20:21,"USER3205013
",/opt/data-new/file//3205/320571/2020/3/writ/FILE320500280316725478559744.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c121-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280351092485656576,.doc,（苏苏高）应急检查〔2020〕1号.doc,,12/6/2024 20:21,USER3205071,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280351091801985024.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98978-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280351092502433792,.pdf,（苏苏高）应急检查〔2020〕1号.pdf,,12/6/2024 20:21,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280351091801985024.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98989-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280351678715138048,.doc,（苏苏高）应急检查〔2020〕1号.doc,,12/6/2024 20:21,USER3205071,/opt/data-new/tmp//3205/320505/2020/3/writ/FILE320500280351678715138048.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d9899b-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280351678727720960,.pdf,（苏苏高）应急检查〔2020〕1号.pdf,,12/6/2024 19:21,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280351678727720960.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d989ad-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280351992109338624,.doc,（苏苏高）应急立〔2020〕1号.doc,,12/6/2024 19:21,USER3205065,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280351991626993664.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d989bf-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280351992117727232,.pdf,（苏苏高）应急立〔2020〕1号.pdf,,12/6/2024 19:21,USER3205065,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280351991626993664.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d989d1-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280352473065984000,.pdf,（苏苏高）应急检查〔2020〕1号.pdf,,12/6/2024 19:21,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280352473065984000.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c164-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280352481488146432,.pdf,（苏苏高）应急立〔2020〕1号.pdf,,12/6/2024 19:21,USER3205065,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280352481488146432.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c176-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280352589659246592,.pdf,新文档 2020-03-13 15.07.25_20200313150756.pdf,,12/6/2024 19:21,USER3205284,/opt/data-new/file//3205/320581/2020/3/other/新文档 2020-03-13 15.07.25_20200313150756.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98a05-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280352845511790592,.doc,（苏苏相）应急检查〔2020〕2号.doc,,12/6/2024 19:21,USER3205198,/opt/data-new/tmp//3205/320507/2020/3/writ/WS320500280352844689707008.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98a17-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280352845520179200,.pdf,（苏苏相）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205198,/opt/data-new/file//3205/320507/2020/3/writ/WS320500280352844689707008.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98a28-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280352992769609728,.doc,（苏苏常）应急立〔2020〕1号.doc,,12/6/2024 19:21,USER3205284,/opt/data-new/tmp//3205/320581/2020/3/writ/WS320500280352992299847680.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98a3d-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280352992782192640,.pdf,（苏苏常）应急立〔2020〕1号.pdf,,12/6/2024 19:21,USER3205284,/opt/data-new/file//3205/320581/2020/3/writ/WS320500280352992299847680.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98a4f-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280353078702510080,.pdf,（苏苏高）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205065,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280353078220165120.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c1be-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280353126312054784,.doc,（苏苏常）应急立〔2020〕1号.doc,,12/6/2024 19:21,USER3205284,/opt/data-new/tmp//3205/320581/2020/3/writ/FILE320500280353126312054784.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98a73-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280353126341414912,.pdf,（苏苏常）应急立〔2020〕1号.pdf,,12/6/2024 19:21,USER3205284,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280353126341414912.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98a85-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280353688826941440,.pdf,（苏苏常）应急检查〔2020〕1号.pdf,,12/6/2024 19:21,USER3205278,/opt/data-new/file//3205/320581/2020/3/writ/WS320500280353688369762304.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98a95-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354347991175168,.jpg,微信图片_20190401155343.jpg,,12/6/2024 19:21,USER3205281,/opt/data-new/file//3205/320581/2020/3/other/微信图片_20190401155343.jpg,1,320500,8/5/2020 21:59,1,320500,i,c9d98aa7-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280354401632129024,.doc,（苏苏常）应急立〔2020〕1号.doc,,12/6/2024 19:21,USER3205284,/opt/data-new/tmp//3205/320581/2020/3/writ/FILE320500280354401632129024.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98aba-2b7d-11ec-b626-fa163e11a32f,,苏州市
