立案-处罚裁量,立案对象id,"行政处罚类型 0：一般行政处罚案??1：重大行政处罚案??,当事人意??","承办人意??,总实际金??",数据导入类型，是否是本系统生成的数据 默认0 ,地区编码,操作类型,uuid,分类分级,加载时间,"行政处罚类型 0：一般行政处罚案??1：重大行政处罚案??,地区编码""",数据导入类型，是否是本系统生成的数据 默认0 _1,Column1,_2
LDIR320500836892025348427776,LA320500835500393747189760,0,,"1、“安全生产管理人员未按照规定经考核合格”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零六条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??3500元（贰万叁仟伍佰元），拟对其作出??3500元（贰万叁仟伍佰元）罚款的行政处罚??,23500.0000000000,320500""",320582,i,31f66543-1c4d-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320581494861374443229184,LA320581482907431148457984,0,,"1??生产、储存、使用危险化学品的单位未将危险化学品储存在专用仓库内，或者未将剧毒化学品以及储存数量构成重大危险源的其他危险化学品在专用仓库内单独存??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，带入公式计算??7500元，拟对其作出处??7500元罚款的行政处罚??",57500,320500,320581,i,aa8876c6-a450-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320500588410470105354240,LA320500588386901522649088,0,,"1、“未将危险化学品储存在专用仓库内”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第八章第一百九十九条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??7500元（伍万柒仟伍佰元），拟对其作出处罚57500元（伍万柒仟伍佰元）罚款的行政处罚??,57500.0000000000,320500""",320507,i,8de0f6b6-013d-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507,,
LDIR320581727896041361248256,LA320581726435485160837120,1,,"1、“生产经营单位未与承包单位、承租单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责，或者未对承包单位、承租单位的安全生产统一协调、管理”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条应裁量为三档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??650元（捌仟陆佰伍拾元），拟对苏州桦众源钢结构工程有限公司总经理李光作出处??650元（捌仟陆佰伍拾元）罚款的行政处罚??,8650.0000000000,320500""",320581,i,37745c4c-2fc5-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320500629607034651676672,LA320500626343882849783808,0,,"1、??022????月未将事故隐患排查治理情况如实记录”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第四条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??0000元（叁万元），拟对其作出处罚30000元（叁万元）罚款的行政处罚??2、“检查发现两名工人（封建军、寇卫华）在车间安装线槽，作业面距地??.06米，属于高处作业，经查询，两名工人均无高处作业证”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零九条应裁量为二档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??0000元（伍万元），拟对其作出处罚50000元（伍万元）罚款的行政处罚??,80000.0000000000,320500""",320571,i,27ad0b57-5ad2-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
LDIR320585483991027108024320,LA320585482569006453100544,0,,"1??可燃气体检测报警仪、安全阀、压力表未检测；静电喷粉房内压缩空气储罐未进行定期检测；""""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为三档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，带入公式计算??2500元，拟对其作出处??2500元罚款的行政处罚??",42500,320500,320585,i,a215684e-2146-11ec-bc7f-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320500677466504400211968,LA320500672063452843347968,0,,"1、“生产经营单位未采取措施消除事故隐患（氧气瓶已超过检验日期）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，代入公式计算为6000元（陆仟元），拟对其作出处罚6000元（陆仟元）罚款的行政处罚??,6000.0000000000,320500""",320509,i,fa72dc4d-c28b-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509,,
LDIR320500518059608728670208,LA320500503570764482482176,1,,"1、“生产经营单位及其主要负责人或者其他人员违反操作规程或者安全管理规定作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十八条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，""带入公式计算??350元，拟对其作出处??350元罚款的行政处罚??,2350.0000000000,320500""",320509,i,fe162a6b-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509,,
LDIR320500710536260787113984,LA320500708677855709499392,1,,昆山大世界油墨涂料有限公司未对承包单位的安全生产统一协调、管理，参照《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十二条，该公司与承包单位苏州科威消防技术有限公司签订了承包合同（工程施工合同）和专门的安全生产管理协议（承包商安全管理协议书），但未对承包单位的安全生产统一协调、管理，处罚档次为二档“未对承包单位、承租单位的安全生产统一协调、管理的”，裁量幅度为二档“责令限期改正，??.5万元以上3.5万元以下的罚款，对其直接负责的主管人员和其他直接责任人员??000元以??000元以下的罚款；逾期未改正的，责令停产停业整顿”。鉴于该公司未对违法行为认识到位，已取得安全生产标准化证书，未能提供积极组织或支持安全生产公益活动的资料，未立即采取措施纠正，建议对昆山大世界油墨涂料有限公司安全总监符葵芳处6000元（陆仟元整）罚款的行政处罚。（S2=0.7-(0.7-0.3)×1/4=0.6万元??6000.0000000000,320500,320583,i,06cf449c-0a0e-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,
LDIR320500424130030558253056,LA320500424127561803501568,0,,,20000,320500,320509,i,12d08a8f-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509
