Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
立案id,案件id,案件名称,"当事??,案件承办人id""","承办人部??,案发时间""",请求的id,流程的id,法规领导id,法规员id,登记人id,登记时间,"最后修改时??,最后执行修改事务人id""",来源类型??表示预审   2表示法审,数据导入类型，是否是本系统生成的数据 默认0 ,提交时间,审核时间,地区编码,操作类型,uuid,分类分级,加载时间,地区编码,来源类型??表示预审   2表示法审,数据导入类型，是否是本系统生成的数据 默认0 ,,
PI320500696281628820901888,LA320500688404843592683520,"苏州弘昌兴古建木艺有限公司未采取措施消除重大事故隐患??苏州弘昌兴古建木艺有限公??""USER3205322","USER320500637977333415809024""",执法大队,,WS320500695943383390097408,5893276,USER3205323,,USER320500504700665809866752,54:38.0,10:42.0,,2,320500,54:38.0,12:17.0,320500,u,88933d06-eb6a-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585612293589057146880,LA320585609336471731572736,"太仓新锦表面处理有限公司主要负责人未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）??高振??""USER320585581169019776667648","USER3205404""",危化中队,,WS320585612291897188159488,1353292,USER320585479284006546837504,,USER3205404,36:08.0,14:29.0,,2,320500,36:08.0,55:17.0,320500,i,2ce4ffa0-351c-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320505463011444334530560,LA320505445234065201696768,常熟市特种冷冻机有限公司锁闭、封堵安全出口案,常熟市特种冷冻机有限公司,"USER320500283964512015486976,USER320500283964305269854208",常福街道,,WS320505454566384324579328,871373,USER3205275,,USER320500337998367038640128,02:12.0,11:19.0,,2,320500,02:12.0,58:41.0,320500,u,84bf6864-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581753590688557305856,LA320581748921614166396928,江苏莱凯节能设备有限公司人员违反操作规程作业??江苏莱凯节能设备有限公司,"USER320500335006294685519872,USER320505469100959448961024",董浜??,WS320581753549328559116288,2415907,USER320581609031171942125568,,USER320500389440097373655040,20:22.0,13:29.0,,2,320500,20:22.0,59:53.0,320500,u,e84044e8-6791-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
2c99fe84787435de017876f1c30a00a9,2c99fe847864c2d30178684073aa1484,"苏州工业园区科里亚汽车装饰有限公司未按照规定定期组织生产安全事故应急救援预案演练等违法事项??苏州工业园区科里亚汽车装饰有限公??""2c99fe846d78d700016d78eefca3001d""",高端制造与国际贸易??2021-03-09 00:00:00.000,2c99fe84787435de017876f1c30a00a9,,8a81e3b76abe6833016abe6f38ec0006,8a81e3b76abe7dbc016abe8bd8650001,2c99fe846d78d700016d78eefca3001d,12:20.0,48:19.0,2c99fe846d78d700016d78eefca3001d,2,320500,,,320500,u,f3698a5e-b305-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,,
PI320506427061464939892736,LA320506424521754262638592,苏州恒吉电器有限公司生产经营单位未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志案,苏州恒吉电器有限公司,"USER320500281384838831804416,USER3205144",东山镇人民政??,WS320506427057121675186176,736647,USER320506408995159179530240,USER3205144,USER320506417389232181481472,09:49.0,11:24.0,,2,320500,09:49.0,,320500,u,84bfddc7-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585437188921483333632,LA320585429243327452286976,太仓康臣包装制品有限公司锁闭、封堵生产经营场所的出口案,太仓康臣包装制品有限公司,"USER3205416,USER3205417",璜泾??,WS320585437188693996867584,659295,USER320585406193658417647616,,USER320585391596602990530560,52:42.0,11:45.0,,2,320500,,,320500,u,255dea7a-157d-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500305283473428451328,LA320500304538354358161408,张家港市中港金属制品有限公司特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业案,张家港市中港金属制品有限公司,"USER3205336,USER3205338",监察大队,,WS320500305282886494326784,62627,USER3205323,,USER3205346,05:33.0,22:29.0,,2,1,59:18.0,59:18.0,320500,u,5ecab1ea-b314-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320585697847474525573120,LA320585697432943596933120,太仓博特精工机械设备有限公司未按照规定建立有限空间管理台账案,"杨雪??""USER320585371674988698144768","USER3205403""",工贸中队,,WS320585697832709526917120,1696849,USER320585479284006546837504,,USER3205403,36:44.0,33:16.0,,2,320500,36:44.0,12:15.0,320500,i,5c4530c3-ef58-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500677505529848795136,LA320500669830600550518784,苏州泽固自动化设备有限公司占用疏散通道的案,"苏州泽固自动化设备有限公??""USER320500411872507583270912","USER320500411871785080852480""",苏州市相城区太平街道办事??,WS320500677504660558319616,5580001,USER320500413995048145784832,,USER3205203,25:07.0,11:45.0,,2,320500,25:07.0,26:30.0,320500,i,ef1c256c-c28d-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500573467578228281344,LA320500571620650142142464,吴江市恒方丝绸整理厂使用危险物品或者处置废弃危险物品的，未采取可靠的安全措施，未将事故隐患排查治理情况如实记录??吴江市恒方丝绸整理厂,"USER320500433656426867462144,USER320500551039388423819264",盛泽镇综合执法局,,WS320500573457354146713600,3470291,USER320500449494922026815488,,USER320500505740908331798528,15:26.0,14:19.0,,2,320500,15:26.0,51:34.0,320500,i,b9ab930a-e107-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585629363622207819776,LA320585622109575214010368,"太仓展祥自控机械有限公司主要负责人未履行安全生产管理职责（未导致发生生产安全事故的）??张齐??""USER320500282817478575263744","USER320585371676593141059584""",高新区中??,WS320585629359170507771904,1419666,USER320585479284006546837504,,USER3205403,06:22.0,13:55.0,,2,320500,06:22.0,56:42.0,320500,u,f1c623d6-5a0a-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320581688108243993497600,LA320581680453751839920128,常熟色织有限公司未采取措施消除事故隐患案,常熟色织有限公司,"USER320500379286073525669888,USER320581552061599054041088",常熟市应急管理综合行政执法大??,WS320581687065664065638400,2059658,USER3205273,,USER3205277,36:31.0,11:06.0,,2,320500,36:31.0,00:17.0,320500,u,bcac0d15-d957-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500703526601001799680,LA320500687973477629562880,苏州介子包装材料有限公司未将事故隐患排查治理情况向从业人员通报等案,苏州介子包装材料有限公司,"USER320500432176843936763904,USER320500457127663006388224",八坼街道综合执法局,,WS320500699905888978210816,6117511,USER320500621997563096076288,,USER320500452084076443078656,43:34.0,42:51.0,,2,320500,43:34.0,47:08.0,320500,i,d77c4081-fb21-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581524900643584872448,LA320581523500984652009472,苏州庆丰针纺织有限公司工人违反操作规程案,"邢学??""USER320500335006294685519872","USER320500389442011180044288""",董浜??,WS320581524898799919828992,1261422,USER320505433989868989714432,,USER320500389440097373655040,47:47.0,13:56.0,,2,320500,47:47.0,46:50.0,320500,u,ce351d87-a6dc-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500748125667228389376,LA320500747056741090332672,"昆山市巴城镇盟宇五金机械加工厂未为从业人员提供符合国家标准或者行业标准的劳动防护用品??昆山市巴城镇盟宇五金机械加工??""USER320500424989762412089344","USER320500424989098734784512""",巴城镇镇综合执法局,,WS320500748125203816517632,7074704,USER320500424990186875654144,,USER320500424989356990664704,24:20.0,28:24.0,,2,320500,24:20.0,33:45.0,320500,i,6d616ea8-5bc8-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500312619232460279808,LA320500310007481671618560,上海喜顺建筑工程有限公司特种作业人员未经专门培训取得特种作业操作证上岗作??上海喜顺建筑工程有限公司,"USER3205332,USER3205334",监察大队,,WS320500312511228440219648,87184,USER3205323,,USER3205346,06:14.0,22:29.0,,2,1,59:18.0,59:18.0,320500,u,5ecabdaf-b314-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500733258177541312512,LA320500728972605104590848,苏州工业园区超屋设计服务部直接负责的主管人员未与承包单位签订专门的安全生产管理协议且未在承包合同中明确各自的安全生产管理职责??孙超,"USER3205067MANUAL,USER3205061MANUAL",苏州阳澄湖半岛旅游度假区应急管理局,,WS320500731845264167407616,6791186,USER3205006MANUAL,USER3205062MANUAL,USER3205057MANUAL,46:14.0,14:22.0,,2,320500,46:14.0,47:35.0,320500,u,a66186b8-3b90-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585507280295850938368,LA320585503249848535879680,太仓市贞观化纤有限公司未对有限空间作业提出防范措施案,"太仓市贞观化纤有限公??""USER3205417",USER3205399,"USER320585406193658417647616""",璜泾??,WS320585507279873270616064,928706,USER320585479284006546837504,USER3205417,USER320585443819214424248320,50:48.0,11:58.0,,2,320500,50:48.0,,320500,u,60c84ad3-545a-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500718091789445107712,LA320500706166306621100032,姑苏区蒋氏电动车销售店未采取措施消除事故隐患案,姑苏区蒋氏电动车销售店,"USER320500636504778653831168,USER320500415115521520832512",苏锦街道,,WS320500715211453073723392,6462039,USER320500655351005692563456,,USER320500655351986631217152,20:25.0,15:14.0,USER320500655351986631217152,2,320500,04:02.0,20:55.0,320500,u,b59fff0b-1a8f-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
