"文书记录id","文书类型编码(code关联字典表)","来源id","业务id","文书填报人","填报人所处的单位","创建时间","最后修改时间","最后执行修改事务人id","承办人id(需要承办人签名时，才传该字段,最多3个人)","已经签名的承认人的id","文书号","pdf附件id(关联附件表)","签字文书附件id(关联附件表)","pdf_size","其他文书附件","签章状态","0 是正常 -1 删除","文书版本","文书号","自动签名状态 0 非自动签名  1 自动签名","文书附件id(关联附件表)","记录版本","是否已上报省厅 0否 1是","签字文书已上传标志 0:否 1:是","企业id","数据导入类型，是否是本系统生成的数据 默认0 ","当事人签名证据","过过期状态期状态  0 正常 1 过期","签字文书上传时间","文书来源 L 立案  E 检查","归属年份","转办标记","转办版本号","地区编码","操作类型","uuid","分类分级","加载时间","文书类型编码(code关联字典表)","0 是正常 -1 删除","签章状态","是否已上报省厅 0否 1是","签字文书已上传标志 0:否 1:是","过过期状态期状态  0 正常 1 过期","数据导入类型，是否是本系统生成的数据 默认0 ","转办标记","地区编码"
WS320500834357848619094016,ws10048,LA320500820589079790882816,,USER320500643124777086619648,"32050906104",2024-05-20 09:20:16.000,2024-05-20 10:45:35.000,USER320500643124777086619648,"c9b3effa-072f-4ef7-afde-c6ca2e4e9bf0,USER320500643124777086619648",,（苏苏江盛）应急〔2024〕77号,FILE320500834357856898650112,,3,,"0","0",0,"77","0",FILE320500834357856860901376,,"0","0",EP3205001639666876106296157,"320500",,"0",,L,"2024","0","0","320500",i,f06f7458-16ca-11ef-bd47-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500894228297683046400,ws10002,PE320500894228285121105920,,USER3205089MANUAL,"320571430000",2024-11-01 14:24:01.000,2024-11-01 15:44:19.000,USER3205089MANUAL,"USER3205089MANUAL,USER3205085MANUAL",,（苏苏园）应急检查〔2024〕400号,FILE320500894228298182168576,,2,,"0","0",0,"400","0",FILE320500894228298161197056,,"0","0",,"320500",,"0",,,"2024","0","0","320500",i,"2fc1f205-9873-11ef-b4a9-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500455408002120290304,ws10063,LA320500455394033288613888,,USER320500432191718444503040,"320583420000",2021-07-09 16:28:50.000,2021-07-12 09:50:23.000,USER320500432191718444503040,"USER320500432191718444503040,USER320500432192000452726784",,（苏苏昆开）应急确认〔2021〕260号,FILE320500456394071313747968,,1,,"0","0",0,"260","0",FILE320500455408002686521344,,"0","1","271f5d19d61e4415a35cb1270d35ebeb","320500",,"0",2021-07-12 09:47:07.000,L,"2021","0","0","320500",u,"0d9e6e2b-e0d7-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320505818871903996350464,ws10047,LA320505810531456160894976,,USER3205064,"320505030000",2024-04-07 15:44:37.000,2024-04-07 18:40:44.000,USER3205067,"USER3205067,USER3205064",,（苏苏高）应急案〔2024〕9号,FILE320505818871905686654976,,2,,"0","0",0,"9","0",FILE320505818871905657294848,,"0","0","977179f6653a11e8982d6c92bf2ec170","320500",,"0",,L,"2024","0","0","320500",i,"96bfd085-f4ff-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500523545268386271232,ws10048,LA320500469547423597858816,,USER320500446729076288262144,"32050906101",2022-01-13 17:02:02.000,2022-03-31 22:53:08.000,USER320500446729076288262144,"USER320500446729076288262144,USER320500446729537988857856",,（苏苏江七）应急〔2021〕306号,FILE320500523545275357204480,,6,,"0","0",0,"306","0",FILE320500523545275336232960,,"0","0","219DBB40-53B1-5F2F-DB93-77BE5441531A","320500",,"0",,L,"2021","0","0","320500",i,"36008652-7492-11ec-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320505923209502851862528,ws10003,EA320505923206076168409088,,USER3205064,"320505030000",2025-01-20 13:44:59.000,2025-01-20 15:40:52.000,USER3205067,"USER3205067,USER3205064",,（苏苏高）应急现记〔2025〕31号,FILE320505923211387742720000,,1,,"0","0",0,"31","0",FILE320505923211387658833920,,"0","0",EP3205001639666733019105570,"320500",,"0",,,"2025","0","0","320500",i,"66d7bbd3-d750-11ef-b4a9-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500943522628340027392,ws10002,PE320500943522494067773440,,USER320500637977701335961600,"320582030000",2025-03-17 15:02:05.000,2025-03-17 16:39:49.000,USER3205352,"USER3205340,USER320500637977701335961600",,（苏苏张）应急检查〔2025〕173号,FILE320500943522628700737536,,1,,"1","0",0,"173","0",FILE320500943522628688154624,,"0","0",,"320500",,"0",,,"2025","0","0","320500",i,a9673f64-0351-11f0-b4a9-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320581909007138280443904,ws1004019,LA320581899238224059174912,,USER320581508227599332282368,"320581500000",2024-12-12 09:09:51.000,2025-01-14 17:40:59.000,USER320581508227599332282368,"USER320581508227599332282368,USER320581863007341241438208",,（苏苏常辛）应急回〔2024〕774号,FILE320581909075905714851840,,1,,"1","0",0,"774","0",FILE320581909007138989281280,,"0","1",EP320581899232734562488320,"320500",,"0",2024-12-12 13:43:07.000,L,"2024","1","0","320500",i,f5f2832f-b8aa-11ef-b4a9-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500325269022041968640,ws10062,LA320500322000263701336064,,USER3205341,"320582030000",2020-07-15 13:42:59.000,2021-07-30 17:52:03.000,USER3205316,"USER3205341,USER3205343",,（苏苏张）应急告〔2020〕157号,FILE320500325269647261700096,,1,,"0","0",1,"157","0",FILE320500325269647253311488,,"0","0",c003d5279ce011e6bd216c92bf2ec170,"320500",,"0",,L,"2020","0","0","320500",i,be7f1a8e-b303-11eb-bca6-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500582249977728733184,ws10002,PE320500582249971575689216,,USER3205073MANUAL,"320571410000",2022-06-24 16:53:33.000,2022-06-27 10:54:07.000,USER3205002MANUAL,"USER3205052MANUAL,USER3205069MANUAL",,（苏苏园）应急检查〔2022〕456号,FILE320500582249978206883840,,1,,"1","0",0,"456","0",FILE320500582249978185912320,,"0","0",,"320500",,"0",,,"2022","0","0","320500",i,c8757ca5-f3df-11ec-8131-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
