"id","writ_id","tag_name","标签内容","父项id","开始时间","修改时间","数据导入类型，是否是本系统生成的数据 默认0 ","地区编码","操作类型","uuid","分类分级","加载时间","数据导入类型，是否是本系统生成的数据 默认0 ","地区编码"
WSE320000977953343911497728,WS320000977952353950896128,tag2,江苏肯立科技股份有限公司,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b7418-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497729,WS320000977952353950896128,tag3,玄武大道699-22号江苏软件园6幢,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b74f6-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497730,WS320000977952353950896128,tag4,孙晓峻,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b7644-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497731,WS320000977952353950896128,tag5,冶金等工贸,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b76c5-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497732,WS320000977952353950896128,tag6,"2025年06月20日","0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b774e-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497733,WS320000977952353950896128,tag62,"2025年06月20日","0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b78c3-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497734,WS320000977952353950896128,tag7,杨晓、杜银剑,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b7910-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497735,WS320000977952353950896128,tag9,资料检查,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b794b-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497736,WS320000977952353950896128,tag10,测试,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b797a-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
WSE320000977953343911497737,WS320000977952353950896128,tag20,计划检查,"0",2025-06-20 15:17:28.000,2025-06-20 15:17:28.000,"0","320500",i,"789b79ae-4df7-11f0-b4a9-fa163e11a32f","1",Sat Jun 21 01:35:17 CST 2025,,苏州市
